,name,image:,address,tel,extendsection,other,email,web
0,Vận Tải Đinh Nguyễn - Công Ty Trách Nhiệm Hữu Hạn Đinh Nguyễn,None,"Khu Phố Mỹ Thạnh, Phường Mỹ Xuân, Thị Xã Phú Mỹ, Bà Rịa-Vũng Tàu, Việt Nam"," (0254) 3931509, Hotline: 0904.445.456",,None,mailto:kinhdoanh@dinhnguyenagency.com                    ,http://dinhnguyenagency.com
1,Vận Tải Bason - Công Ty Cổ Phần Vận Tải Bason,None,"36/63 Nguyễn Gia Trí, P. 25, Q. Bình Thạnh, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0907 278 886 (Hotline),,None,mailto:vandoanvtcbason@gmail.com                         ,http://bason.vn
2,Công Ty TNHH Tiếp Vận Quốc Tế Đen Ta,None,"Tầng 17, Phòng 1702 Cát Bi Plaza, Ngô Quyền, Tp. Hải Phòng, Việt Nam", (0225) 3821525,,None,mailto:dinhhung@delta-logistics.com.vn                   ,http://delta-logistics.com.vn
3,Daco Logistics - Công Ty Cổ Phần Dịch Vụ Lô-Gi-Stic Đại Cồ Việt,None,"Lầu 6, Số 6 - 8 Đoàn Văn Bơ, P. 9, Q. 4, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62619650,,None,mailto:president@dacologistics.com                       ,http://dacologistics.com
4,Công Ty TNHH ONTRACK LOGISTICS VINA,None,"Lô 26D Lê Hồng Phong, Q. Ngô Quyền, Tp. Hải Phòng, Việt Nam", (0225) 7306320,,None,mailto:ops3@ontrack.kr                                   ,http://shinnong.vn
5,Whitebox Việt Nam - Công Ty TNHH Whitebox Việt Nam,None,"Tầng 3, Số 131, Phố Bạch Mai, Phường Cầu Dền, Quận Hai Bà Trưng, Hà Nội, Việt Nam", (024) 3383 8777,,None,mailto:hello@whitebox.vn                                 ,http://whitebox.vn
6,Công Ty Cổ Phần Proship,None,"Số 4 ngõ 26 Nguyên Hồng, Đống Đa, Hà Nội, Việt Nam",0901411247,,None,mailto:tupm90@gmail.com                                  ,http://proship.vn
7,Công Ty TNHH Giao Nhận MV,None,"Số 45, Ngách 322/95, Đường Mỹ Đình, TDP Số 13 Nhân Mỹ, P. Mỹ Đình 1, Q. Nam Từ Liêm, Hà Nội, Việt Nam", (024) 62956663,,None,mailto:cus01@mvlogistics.com.vn                          ,http://mvlogistics.com.vn
8,Công Ty CP TM Và Vận Chuyển Thiên Phát,None,"Số 24/3 Cù Chính Lan, P. Khương Mai, Q. Thanh Xuân, Hà Nội, Việt Nam", (024) 37621761,,None,mailto:oversea.tp@thienphatjsc.com                       ,http://thienphatjsc.com
9,"SHANGHAI BARENTRANS LOGISTICS CO.,LTD.",None,"Phòng 1309, Tòa nhà Shanghai Bund International, 99 Đường Huangpu, Thượng Hải, Trung Quốc",+86 021 510 288 58,,None,mailto:chiliyang@barentrans.com                          ,http://11467.com/shanghai/co/1023549.html
10,Công Ty TNHH Thương Mại Và Dịch Vụ Đại Tân á,None,"Phòng 604-606, Tầng 6, Tòa Nhà Thăng Long GTC, 115 Lê Duẩn, Q. Hoàn Kiếm, Hà Nội, Việt Nam", (024) 39427149,,None,mailto:data-han@vnn.vn                                   ,http://giathanhlogistics.com
11,Công Ty TNHH Thương Mại Dịch Vụ Giao Nhận Gia Thành,None,"270-272 Cộng Hòa, P. 13, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38125980,,None,mailto:gia.thanh@giathanhlogistics.com                   ,http://www.nascoexpress.com
12,Công ty Cổ Phần Giao Nhận Hàng Hóa NASCO,None,"Tòa Nhà Trụ Sở NASCO, Sân bay Quốc Tế Nội Bài, Xã Phú Minh, Huyện Sóc Sơn, Hà Nội, Việt Nam",0979472451,,None,mailto:info@nascoexpress.com                             ,http://xmbnd.com
13,Công ty TNHH Logistics Xiamen B&D,None,"5G, Westside, Tòa Nhà Liansheng, Số 28, Đường Huli, Quận Huli, Hạ Môn, , Trung Quốc", (+86) 5925680192,,None,mailto:micheal@xmbnd.com                                 ,http://mateximhaiphong.com.vn
14,Công Ty Cổ Phần Matexim Hải Phòng,None,"Số 1 Lê Lai, P. Lạc Viên, Q. Ngô Quyền, Tp. Hải Phòng, Việt Nam", (0225) 3837012,,None,mailto:mateximhp@hn.vnn.vn                               ,http://vantaikhuyenlinh.vn
15,Vận Tải Khuyên Linh - Công Ty TNHH Khuyên Linh,None,"Số 9, Ngõ 71 Đỗ Quang, P. Trung Hòa, Q. Cầu Giấy, Hà Nội, Việt Nam","Hotline: 0913 229 655, 0941 494 686",,None,mailto:khuyenlinhvphn@gmail.com                          ,http://nplglobal.vn
16,Công ty TNHH Thương Mại Huỳnh Phương Vy,None,"Số 10 đường 100B , phường Thạnh Mỹ Lợi , Quân 2 , Tp. Hồ Chí Minh (TPHCM), Việt Nam",0909960174,,None,mailto:info@nplglobal.com.vn                             ,http://dichvulogistics.vn
17,Công Ty TNHH Tiếp Vận Nghĩa Phát,None,"Tầng 14, Tòa Nhà HM Town, 412 Nguyễn Thị Minh Khai, P. 5, Q. 3, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0919683278,,None,mailto:logisticsdichvu.vn@gmail.com                      ,http://haikhanh.com
18,Công Ty Cổ Phần FAGOLOGISTICS Việt Nam,None,"P.401, Tòa N2C, Đường Hoàng Minh Giám, Thanh xuân, Hà Nội, Việt Nam",0979087491,,None,"mailto:gm.hcm@haikhanh.com, cus.hcm@haikhanh.com         ",http://falco.com.vn
19,Công Ty CP Giao Nhận Và Vận Tải Quốc Tế Hải Khánh - Văn Phòng TP. Hồ Chí Minh,None,"220/1 Phan Văn Hân, P. 17, Q. Bình Thạnh, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 35140690,"Hải Khánh Hà Nội: Tầng 7 TN Investip Số 5B, Ngõ 55, Huỳnh Thúc Kháng, P. Láng Hạ, Đống Đa, Hà Nội
Hải Khánh Đà Nẵng: Số 545 Đường Ngô Quyền, P. Sơn Trà, Q. An Hải Bắc, Đà Nẵng
Hải Khánh Quy Nhơn: Tầng 4 TN Phú Tài, Số 278, Đường Nguyễn Thị Định, TP. Quy Nhơn
",None,mailto:sales@falco.com.vn                                ,http://matimex.vn
20,Tiếp Vận Viễn Dương - Công Ty TNHH Tiếp Vận Viễn Dương,None,"170 Trưng Nữ Vương, P. Bình Thuận, Q. Hải Châu, Tp. Đà Nẵng, Việt Nam", (0236) 3575559,,None,mailto:info@matimex.vn                                   ,http://tntlogsco.com.vn
21,Công Ty CP Vật Tư & Dịch Vụ Kỹ Thuật Thành Phố Hồ Chí Minh,None,"4 Nguyễn Văn Cừ, P. Cầu Kho, Q. 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39205885,,None,mailto:info@tntlogsco.com.vn                             ,http://www.s2s.vn
22,Công Ty TNHH Giao Nhận Quốc Tế TNT,None,"95/107/07 Lê Văn Lương, P. Tân Kiểng, Q. 7, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62700620,,None,mailto:info@s2s.vn                                       ,http://vantaihaanh.com
23,SS Logistics - Công Ty TNHH Dịch Vụ Giao Nhận Song Song,None,"Head Office: 280A25 (KDC 280), Lương Định Của, P. An Phú, Q. 2, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 7106.9986,,None,mailto:haanhtraco@gmail.com                              ,http://chuyenphatnhanhanphu.vn
24,Công Ty TNHH Vận Tải Thương Mại Hà Anh,None,"86 Đường Hoàng Thế Thiện, P. Đông Khê, Q. Ngô Quyền, Tp. Hải Phòng, Việt Nam"," (0225) 3978897, 0903431440",,None,mailto:anphuexpress@gmail.com                            ,http://haikhanh.com
25,Chuyển Phát Nhanh An Phú - Công Ty TNHH Vận Tải Và Chuyển Phát Nhanh An Phú,None,"E1.30 Celadon, 36 Bờ Bao Tân Thắng, P. Sơn Kỳ, Q. Tân Phú, Tp. Hồ Chí Minh (TPHCM), Việt Nam","0926 11 55 99, 0369 66 77 88",,None,mailto:rnd.hq@haikhanh.com                               ,http://kimdaiphuc.com
