,name,image:,address,tel,extendsection,other,email,web
0,Giao Nhận Vinavico - Công Ty TNHH Giao Nhận Và Thương Mại Vinavico,None,"395 Lương Thế Vinh, P. Mễ Trì, Q. Nam Từ Liêm, Hà Nội, Việt Nam",0904414979,,None,mailto:vinavicoth@gmail.com                              ,http://vinavicologistics.bizz.vn
1,Chi Nhánh Công Ty TNHH Logistics Safway,None,"Thị Trấn Đồng Văn, H. Duy Tiên Hà Nam, Việt Nam", (0247) 1085568 Hotline: 0901 232 568,"Văn Phòng Hà Nội: Fl.3, Lô 41/100 Dịch Vọng Hậu, P. Dịch Vọng Hậu, Q. Cầu Giấy, Hà Nội 
",None,mailto:info@safway.com.vn                                ,http://www.safway.com.vn
2,Logistics Nippon Konpo - Công Ty TNHH Nippon Konpo Hồ Chí Minh,None,"Lô B2-45, B2-46 Và Một Phần Lô B2-44, B2-47, KCN Tân Đông Hiệp B, P. Tân Đông Hiệp, TP. Dĩ An, Bình Dương, Việt Nam", (0274) 3766941,,None,mailto:sp_hangtt@nkv.vn                                  ,http://www.nikkon-hd.co.jp
3,Công Ty TNHH MTV Tổng Công Ty Tân Cảng Sài Gòn,None,"722 Điện Biên Phủ, P. 22, Q. Bình Thạnh, Tp. Hồ Chí Minh (TPHCM), Việt Nam","18001188,  0903 751 643",,None,mailto:marketing@saigonnewport.com.vn                    ,http://www.saigonnewport.com.vn
4,ITL Logistics - Công Ty CP Giao Nhận Và Vận Chuyển In Do Trần,None,"Số 52 - 54 - 56 Trường Sơn, P. 2, Q. Tân Bình, TP HCM, Việt Nam", (028) 0865571481,,None,mailto:purpose.y@itlvn.com                               ,http://www.itlvn.com
5,Inlaco Saigon - Công Ty Cổ Phần Vận Tải Biển Và Hợp Tác Lao Động Quốc Tế,None,"36-38 Nguyễn Trường Tộ, P. 12, Q. 4, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39433770,,None,mailto:inlacosaigon@inlacosaigon.com                     ,http://www.inlacosaigon.com
6,Genuine Partner - Công Ty CP Đối Tác Chân Thật,None,"Lầu 3 Tòa Nhà Vista, Số 628C, Xa Lộ Hà Nội, P. An Phú, Q. 2, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62814078,,None,mailto:info@genuinepartner.com                           ,http://genuinepartner.com
7,Konoike Vina - Công Ty TNHH Vận Tải Việt Nhật,None,"18A Lưu Trọng Lư, P. Tân Thuận Đông, Q. 7, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38723348,,None,mailto:admin@konoikevina.com                             ,http://konoikevina.com
8,Logistics Schenker - Công Ty TNHH Schenker Việt Nam,None,"Tầng G4-5-6, Tòa Nhà Hà Đô South Building, 60 Trường Sơn, P. 2, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62971860,,None,mailto:infovietnam@dbschenker.com                        ,http://dbschenker.vn
9,SGH Global - Công Ty TNHH Sagawa Express Việt Nam,None,"Lô 117, KCN Trong Khu Chế Xuất Sài Gòn – Linh Trung, P. Linh Trung, TP. Thủ Đức, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38409330,,None,mailto:info@sagawa-vtm.com.vn                            ,http://sagawa-vtm.com.vn
10,Logistics ALC - Công Ty Cổ Phần Thương Mại Dịch Vụ Đất Mới,None,"Lô B2, Đường C2, KCN Cát Lái, Cụm 2, P. Thạnh Mỹ Lợi, Q. 2, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 37425107,,None,mailto:info@alcvietnam.com                               ,http://www.alcvietnam.com
11,Bee Logistics - Công Ty CP Giao Nhận Vận Tải Con Ong,None,"Tầng 2, Tòa Nhà Hải Âu, 39B Trường Sơn, P. 4, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62647272,,None,mailto:info@beelogistics.com                             ,http://beelogistics.com
12,VPĐD - Công Ty TNHH Lô-Gi-Stíc Pantos Việt Nam,None,"Tầng 3, Tòa Nhà Handico, KĐT Mới Mễ Trì Hạ, P. Mễ Trì, Q. Nam Từ Liêm, Hà Nội, Việt Nam", (024) 39362814,,None,mailto:tathu.ha@pantos.com                               ,http://pantos.com
13,Tổng Công Ty Cổ Phần Bưu Chính Viettel,None,"Số 1 Giang Văn Minh, P. Kim Mã, Q. Ba Đình, Hà Nội, Việt Nam", (024) 62660306,,None,mailto:mail@viettelpost.com.vn                           ,http://viettelpost.com.vn
14,ALS - Công Ty Cổ Phần Logistics Hàng Không,None,"Tầng 4, Ga Hàng Hóa ALS, Cảng Hàng Không Quốc Tế Nội Bài, X. Phú Minh, H. Sóc Sơn, Hà Nội, Việt Nam", (024) 37953838,,None,mailto:contact@als.com.vn                                ,http://als.com.vn
15,Logistics Vinafreight - Công Ty CP Vinafreight,None,"Lầu 1, Block C, Tòa Nhà Văn Phòng Waseco, Số 10 Phổ Quang, P. 2, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38446409,,None,mailto:mngt@vinafreight.com.vn                           ,http://www.vinafreight.com
16,Logistics Việt Hoa - Công Ty TNHH Dịch Vụ Vận Tải Và Thương Mại Việt Hoa,None,"284 Nguyễn Tất Thành, P. 13, Q. 4, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39402520,,None,mailto:khuan@viethoagroup.com                            ,http://viethoagroup.com
17,SME Logistics - Công Ty CP SME Worldwide Logistics,None,"Tầng 5, Tòa Nhà Narime, Số 15/28-30 Đường Đoàn Như Hài, P. 12, Q. 4, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62987790,,None,mailto:hr-hcm@smelogistics.vn                            ,http://smelogistics.vn
18,Logistics Thủy Tùng - Công Ty TNHH Giao Thông Vận Tải Thủy Tùng,None,"Số 64/2 Đường Tân Thới Hiệp 2, KP. 7, P. Tân Thới Nhất, Q. 12, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62505041,,None,mailto:aihao@thuytung.com.vn                             ,http://www.thuytung.com.vn
19,Dương Minh Logistics - Công Ty TNHH Giao Nhận Vận Tải Quốc Tế Dương Minh,None,"59 Trần Đình Xu, P. Cầu Kho, Q. 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 54088088,,None,mailto:marketing@duongminhvn.com                         ,http://duongminhvn.com
20,Logistics SBI - Công Ty CP SBI,None,"KĐT Mới Quế Võ II, X. Phượng Mao, H. Quế Võ, Bắc Ninh, Việt Nam",0866808982,,None,mailto:sales@sbit.vn                                     ,http://sbit.vn
21,Voltrans - Công Ty TNHH Tiếp Vận Vận Tải Quốc Tế Võ Lương,None,"4/2 Đường D2, P. 25, Q. Bình Thạnh, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 71088499,,None,mailto:info@voltransvn.com                               ,http://voltransvn.com
22,Vinalines Logistics - Công Ty Cổ Phần Vinalines Logistics Việt Nam,None,"P.405, Tầng 4, Tòa Nhà Ocean Park, Số 1, Đào Duy Anh, Q. Đống Đa, Hà Nội, Việt Nam", (024) 35772047,,None,mailto:info@vinalineslogistics.com.vn                    ,http://vinalineslogistics.com.vn
23,Logistics Xuân Trường Hai - Công Ty Cổ Phần Vận Tải Và Thương Mại Xuân Trường Hai,None,"Số 783 Nguyễn Bỉnh Khiêm, P. Đông Hải 1, Q. Hải An, Tp. Hải Phòng, Việt Nam", (0225) 3629929,,None,mailto:xuantruonghaijsc@gmail.com                        ,http://xuantruonghai.com.vn
24,Vinatrans - Công Ty CP Giao Nhận Kho Vận Ngoại Thương Việt Nam,None,"406 Nguyễn Tất Thành, P. 18, Q. 4, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39414919,,None,mailto:uyen-lhn@vinatrans.com.vn                         ,http://vinatrans.com
25,Dương Minh Logistics - Công Ty TNHH Giao Nhận Xuất Nhập Khẩu Dương Minh,None,"E13/24 ấp 5, X. Vĩnh Lộc A, H. Bình Chánh, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62599427,,None,mailto:duongminh@xuatnhapkhauvn.com                      ,http://xuatnhapkhauvn.com
26,Logistics Maxpeed - Công Ty TNHH Maxpeed Hà Nội,None,"P702 Tầng 7, Tòa Nhà VET, 98 Hoàng Quốc Việt, P.Nghĩa Đô, Q. Cầu Giấy, Hà Nội, Việt Nam", (024) 37558393,,None,mailto:info2@maxhanoi.com.vn                             ,http://maxpeed.com.vn
27,Viconship - Công Ty Cổ Phần Container Việt Nam,None,"Số 11 Võ Thị Sáu, P. Máy Tơ, Q. Ngô Quyền, Tp. Hải Phòng, Việt Nam", (0225) 3836705,,None,mailto:info@viconship.com                                ,http://www.viconship.com
28,Logistics An Lợi - Công Ty TNHH An Lợi,None,"Tầng 2, 27A2 Green Star Building, Số 232 Phạm Văn Đồng, Q. Bắc Từ Liêm, Hà Nội, Việt Nam", (024) 22216666,,None,mailto:info@anloi.com.vn                                 ,http://anloi.com.vn
29,Công Ty CP Dịch Vụ Dầu Khí Quảng Ngãi PTSC,None,"Lô 4H,Tôn Đức Thắng, P. Lê Hồng Phong, Tp. Quảng Ngãi, Quảng Ngãi, Việt Nam", (0255) 3827492,,None,mailto:ptscquangngai@ptsc.com.vn                         ,http://ptscquangngai.com.vn
30,Logistics VinaBridge - Công Ty TNHH Khai Thác Container Việt Nam,None,"P409, Tầng 4, Tòa Nhà Trung Tâm TMTD, 20A Lê Hồng Phong, P. Đông Khê, Q. Ngô Quyền, Tp. Hải Phòng, Việt Nam", (0225) 3246216,,None,mailto:info@vinabridge.com.vn                            ,http://vinabridge.com.vn
31,Logistics Kuehne Nagel - Công Ty TNHH Kuehne Và Nagel,None,"Tầng 11, Tòa Nhà Vincom Center, Số 72 Lê Thánh Tôn, P. Bến Nghé, Q. 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38282200,,None,mailto:info.hochiminhcity@kuehne-nagel.com               ,http://vn.kuehne-nagel.com
32,VVMV - Công Ty Cổ Phần Vinh Vân Minh Vân,None,"Tầng 4, Tòa Nhà Petroland, Số 12 Tân Trào, P. Tân Phú, Q. 7, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 54105410,,None,mailto:admin@vvmv.com.vn                                 ,http://www.vvmv.com.vn
33,Logistics Thamico - Công Ty Cổ Phần Thái Minh,None,"25 – 25A Đường 81, P. Tân Quy, Q. 7, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 37750888,,None,mailto:info@thamico.com                                  ,http://www.thamico.com
34,Vận Tải á Đông ADG - Công Ty Cổ Phần á Đông ADG,None,"36/72 Nguyễn Gia Trí, P. 25, Q. Bình Thạnh, Tp. Hồ Chí Minh (TPHCM), Việt Nam",Hotline: 0907 278 886,,None,mailto:cfoadong@gmail.com                                ,http://www.adonggroup.com.vn
