,name,image:,address,tel,extendsection,other,email,web
0,Công Ty TNHH Ngôi Sao Tiên Phong,None,"27/185 Điện Biên Phủ, P. 15, Q. Bình Thạnh, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39940573,,None,mailto:info@pioneerstar.com.vn                           ,http://pioneerstar.com.vn
1,Mai Thành - Công Ty Cổ Phần Mai Thành,None,"Số 28 Mạc Đĩnh Chi, P. Đa Kao, Q. 1, Tp. Hồ Chí Minh , Việt Nam", (08) 7301216,,None,mailto:maithanh_furniture@maithanhfurniture.com          ,http://maithanhcorp.com.vn
2,Công Ty TNHH Thương Mại Chuyển Phát Quốc Tế,None,"Tầng 5, Tòa Nhà SV Technologies, 2A Phan Thúc Duyện, P. 4, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39974020,,None,mailto:sales03@interexpress.vn                           ,http://ggclogistics.com
3,Công Ty TNHH Một Thành Viên Nhi Loan,None,"Số 1A/2, Đường Bình Chuẩn 72, KP. Bình Phước B, P. Bình Chuẩn, TX. Thuận An, Bình Dương, Việt Nam",0937463679,,None,mailto:lisa@ggclogistics.com                             ,http://goldenmark.org
4,Công Ty TNHH Giao Nhận Kết Nối Toàn Cầu Xanh,None,"02 -04 Alexandre DeRhodes, Phường Bến Nghé, Quận 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 66834309,,None,mailto:lina@goldenmark.com.vn                            ,http://www.lgt.com.vn
5,Công Ty TNHH Thương Mại & Giao Nhận Điểm Vàng,None,"122 Nguyễn Hoàng, Phường An Phú, Quận 2, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62811168,,None,mailto:lamgiathinh@lgt.com.vn                            ,http://www.lehoavn.com
6,Lâm Gia Thịnh - Công Ty TNHH Lâm Gia Thịnh,None,"15 Đường Số 10, KDC Trung Sơn, H. Bình Chánh, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38551545,,None,mailto:hoa@lehoavn.com                                   ,http://tanlieu.com.vn
7,Lê Hòa - Công Ty TNHH Thương Mại & Dịch Vụ Giao Nhận Lê Hòa,None,"42 Đại Lộ Võ Văn Kiệt, P. Nguyễn Thái Bình, Q. 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38279565,,None,mailto:info@tanlieu.com.vn                               ,http://www.mhglobal.co.kr
8,Công Ty TNHH Tiếp Vận Tân Liêu,None,"131B Nguyễn Thị Minh Khai,            Phường Bến Thành, Quận 1, TP HCM Tp. Hồ Chí Minh (TPHCM), Việt Nam",66807700,,None,mailto:huong@mhglobal.com.vn                             ,http://www.globalocean.com.vn
9,Công Ty TNHH MH Global Việt Nam,None,"BT08-Vimeco II, Nguyễn Chánh, P. Trung Hòa, Q. Cầu Giấy, Hà Nội, Việt Nam", (024) 62823919,,None,mailto:info@globalocean.com.vn                           ,http://vietpros.vn
10,Công Ty TNHH Giao Nhận Đại Dương Toàn Cầu,None,"134/1 Cách Mạng Tháng Tám, P. 10, Q. 3, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39315871,,None,mailto:viet.thinhvuong@yahoo.com                         ,http://www.vietcambiz.com/
11,Công ty TNHH TM DV Việt Thịnh Vượng,None,"140/4 Nguyễn Tiểu La, P. 5, Q. 10, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39778406,,None,mailto:khanhnguyen.becaco@yahoo.com.vn                   ,http://www.worldbl.co.kr
12,Doanh Nghiệp Tư Nhân BECACO,None,"402 Vành Đai Phi Trường, P. An Thới, Q. Bình Thủy, TP. Cần Thơ, Việt Nam",0983083080,,None,mailto:tiepvantvn@gmail.com                              ,http://phuhunglogistics.com
13,Công Ty TNHH Tiếp Vận TVN Việt Nam,None,"Số 136, Tổ 11, Đường Hoàng Công Chất, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội, Việt Nam",0983905146,,None,mailto:Nguyenminhtrung911@gmail.com                      ,http://bluemarine-logistics.com
14,Doanh Nghiệp Tư Nhân Minh Phượng,None,"Tổ 90, Khu 7, P. Hiệp Thành, TP. Thủ Dầu Một, Bình Dương, Việt Nam",0987626462,,None,mailto:sales@vietcambiz.com                              ,http://idfd-log.com
15,Công Ty TNHH Một Thành Viên Thương Mại Dịch Vụ Vận Tải Việt Cam,None,"A28 Hẻm 92, Đ. Phan Huy ích, P. 15, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62962331,,None,mailto:eric@worldbl.co.kr                                ,http://virasimex.com
16,Công Ty Ninh Bình Vận Tải Ô Tô,None,"Đường 10, P. Thanh Bình, Ninh Bình, Việt Nam", (0229) 3871070,,None,mailto:vantaiphuhung.hn@gmail.com                        ,http://www.hmlogistics.com
17,Công Ty TNHH Vận Tải World Blis,None,"5F, 307/6 Nguyễn Văn Trỗi, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38424406,,None,mailto:tuyetmai@bluemarine-logistics.com                 ,http://www.citylinkexpress.com
18,Chi Nhánh Công Ty TNHH Dịch Vụ Vận Tải Phú Hưng,None,"28 phố Thanh Bảo, P. Kim Mã, Q. Ba Đình, Hà Nội, Việt Nam", (024) 32247352Hotline: 1900 6982,"Địa chỉ kho: Lô 21, Bến xe tải Thanh Trì, P. Yên Sở, Q. Hoàng Mai, Hà Nội.",None,mailto:sales_08@idfd-log.com                             ,http://www.acttline.com
19,CôngTy TNHH Hàng Hải Xanh,None,"Tầng 4, Số 01 Đinh Lễ, Phường 12, Quận 4, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62616541,,None,mailto:xkld@fpt.vn                                       ,http://daihungtinh.com
