,name,image:,address,tel,extendsection,other,email,web
0,Công Ty TNHH Một Thành Viên Thương Mại Xuất Nhập Khẩu Thanh Tuyền,None,"Sô 94, Đường Lê Lai, P. Hoàng Văn Thụ, Tp. Lạng Sơn, Lạng Sơn, Việt Nam",Hotline : 09466.19.688,,None,mailto:dothanhtuyen204@gmail.com                         ,http://eyon.com.vn
1,Công Ty TNHH Thương Mai Dịch Vụ Vận Tải Khánh Đăng,None,"Số 2/144 Đường Ngô Quyền, Phường Máy Chai, Quận Ngô Quyền, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0904026955,,None,mailto:congtydichvuvantaikhanhdang@gmail.com             ,http://skyworldex.com
2,Công Ty TNHH Vận Tải Quốc Tế Eyon,None,"Số 76A Lê Lai, P. Bến Thành, Q. 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38227709,,None,mailto:info@eyon.com.vn                                  ,http://www.citylinkexpress.com
3,Công Ty Cổ Phần TM & DV Phi Thiên,None,"21 Phạm Cụ Lượng, P. 2, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam",01646283416,,None,mailto:hoang.nguyen@skyworldex.com                       ,http://www.twinlogistics.com
4,Trung Tâm Tân Đạt - Tcty Vận Tải Hà Nội,None,"122 Xuân Thủy, Q. Cầu Giấy, Hà Nội, Việt Nam", (024) 38567567,,None,mailto:huytk@tllogistic.com                              ,http://zhaoxing.net
5,Công Ty Thương Mại Dịch Vụ Tiếp Vận VN,None,"283 Điện Biên Phủ, P.15, Q. Bình Thạnh, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38408852,,None,mailto:bdmvn@twinlogistics.com                           ,http://www.vico.com.hk
6,Công Ty Chuyển Phát Nhanh CityLink Express Vietnam,None,"47 Trần Quốc Hoàn, P. 4, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39990902,,None,mailto:zhaoxing.hcm@gmail.com                            ,http://www.glotransvn.com.vn
7,Công Ty TNHH Twin Logistics Việt Nam,None,"607-609, Tầng 3, Nguyễn Kiệm, P. 9, Q. Phú Nhuận, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 3990 3679,,None,mailto:info@vico.com.vn                                  ,http://halogistics.vn
8,Công Ty TNHH Thương Mại Dịch Vụ Vận Tải Triệu Hưng,None,"2/23 Phan Thúc Duyện, P4, Q. Tân Bình Tp. Hồ Chí Minh (TPHCM), Việt Nam",0909883437,,None,mailto:nguyentongabat@gmail.com                          ,http://rpmdlogistics.com
9,Công Ty TNHH Dịch Vụ ViCo Việt Nam,None,"3G (Lầu 3), Phổ Quang, P. 2, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38447918,,None,mailto:chuongtv@houseart.vn                              ,http://hbtlogistics.com
10,Công Ty TNHH Vận Tải Và Tiếp Vận Toàn Cầu,None,"55 Lê Quốc Hưng, P. 12, Q. 4, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0905 071 187,,None,mailto:dong.nguyen@saigonstarvina.com                    ,http://www.lokilogistics.com
11,Công Ty TNHH HA Logistics,None,"20/62 Yên Thế, P. 2, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62969566,,None,mailto:thienphuongit@gmail.com                           ,http://antamvn.com
12,Công Ty TNHH MTV Giao Nhận Vận Tải Ngôi Sao Sài Gòn,None,"Lầu 4, 150 Bis Lê Thị Hồng Gấm , P. Cầu Ông Lãnh , Q.1 Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39259610,,None,mailto:info@hbtlogistics.com                             ,http://thuantuongthinh.bizz.vn
13,Công Ty TNHH RPMD Global,None,"P 3A2, D14 - D6, KĐTM Cầu Giấy, P. Dịch Vọng, Q. Cầu Giấy, Hà Nội, Việt Nam", (024) 71091979 (105),,None,mailto:thomas@lokilogistics.vn                           ,http://www.oceanstar.com.vn
14,Công Ty TNHH TM DV HBT Logistics,None,"Tòa nhà Wilton, 71/03 Nguyễn Văn Thương, P. 25, Bình Thạnh, Tp. Hồ Chí Minh (TPHCM), Việt Nam",( 028) 35351036,,None,mailto:tuanphan@antamvn.com                              ,http://www.sunshinelogs.com
15,Công Ty Loki,None,"H10A Cư Xá Tân Cảng, P. 25, Q. Bình Thạnh, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 35121968,,None,mailto:bbwofficer@gmail.com                              ,http://ctctrans.com.vn
16,Công Ty TNHH Đầu Tư Xây Dựng Kinh Doanh Dịch Vụ An Tâm,None,"Số Nhà 42, Đường Số 2, KDT Vạn Phúc, QL13, P. Hiệp Bình Phước, Q. Thủ Đức, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 35534115,,None,mailto:ptt.co@phuctruongthanh.com                        ,http://trieukim.com
17,Công Ty TNHH Thương Mại Dịch Vụ Thuận Tường Thịnh,None,"Số 15 Phạm Ngũ Lão, P. Phú Cường, Tp. Thủ Dầu Một, Bình Dương, Việt Nam", (0274) 3818377 - Hotline: 0932 76 76 76,,None,mailto:thanhmai@htmdragon.com                            ,http://en.minhphatlogistics.com.vn
18,Công Ty Đầu Tư Và Thương Mại Phúc Trường Thành,None,"315 Lê Thánh Tông, P. Máy Chai, Q. Ngô Quyền, Tp. Hải Phòng, Việt Nam", (0225) 3767526,,None,mailto:tay.vlogistics@gmail.com                          ,http://www.mklogistics.com.vn
19,Công Ty TNHH HTM Dragon Việt Nam,None,"Số 19, Nguyễn Trãi, P. Khương Trung, Q. Thanh Xuân, Hà Nội, Việt Nam", (024) 62854346,,None,mailto:info@oceanstar.com.vn                             ,http://www.logistics-vci.vn
20,Công Ty TNHH Logistics Việt Nam,None,"Số 75, Đường 2B, P. Bình Hưng Hoà B, Q. Bình Tân, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 68844617,,None,mailto:operation@sunshinelogs.com                        ,http://www.benthanhlogistics.com.vn
21,Công Ty TNHH Giao Nhận Vận Tải Phúc Đại Phát,None,"161 Âu Dương Lân, P. 2. Q. 8, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38510004,,None,mailto:info@ctctrans.vn                                  ,http://tgsvn.com
