,name,image:,address,tel,extendsection,other,email,web
0,Global Logistics - Công Ty TNHH Dịch Vụ Tiếp Vận Toàn Cầu,None,"S26-28, Đường Số 1, Khu Him Lam, P. Tân Hưng, Q. 7, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62648989,,None,mailto:info@globallogisticservice.com                    ,http://globallogisticservice.com
1,Logistics Bắc Kỳ - Công Ty Cổ Phần Đầu Tư Bắc Kỳ,None,"Tầng 14, Vinaconex 9 Tower, Lô HH2-2, KĐT Mễ Trì Hạ, Phạm Hùng, Q. Nam Từ Liêm, Hà Nội, Việt Nam", (024) 39333414,,None,mailto:sales@bklogistics.com.vn                          ,http://backyinc.com
2,Logistics KMG - Công Ty TNHH Toàn Cầu Khải Minh,None,"Tòa Nhà Thứ 10, Tòa Nhà Sông Hồng Land 165 Thái Hà, Q. Đống Đa, Hà Nội, Việt Nam", (024) 39411989,,None,mailto:sales10han@kmg.vn                                 ,http://kmg.vn
3,Công Ty Cổ Phần Transimex,None,"Lầu 9-10, TMS Building, Số 172, Hai Bà Trưng, P. Đa Kao, Q. 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 22202888,,None,mailto:info@transimex.com.vn                             ,http://transimex.com.vn
4,KCTC Logistics - Công Ty TNHH KCTC Việt Nam,None,"Tòa Nhà Dreamplex, Lầu 3, 195 Điện Biên Phủ, P. 15, Q. Bình Thạnh, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62583706,,None,mailto:nhansu@kctcvn.com                                 ,http://kctcvn.com
5,"SITC GROUP_SITC DV Logistics Co.,LTD",None,"Phòng 521, Tầng 5, Tòa Nhà TD Plaza, 22A Lê Hồng Phong, Q. Ngô Quyền, Tp. Hải Phòng, Việt Nam",(+ 84 225) 3260000 ext 151,,None,mailto:logs@sitc-dinhvu.com                              ,http://sitc-dinhvu.com
6,Logistics Safi - Công Ty Cổ Phần Đại Lý Vận Tải Safi,None,"Số 209 Nguyễn Văn Thủ, P. Đa Kao, Q. 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38238799,,None,mailto:info.sgn@safi.com.vn                              ,http://www.safi.com.vn
7,InterLogistics - Công Ty Cổ Phần Giao Nhận Tiếp Vận Quốc Tế,None,"Tầng 5, Tòa nhà Cảng Sài Gòn, Số 3 Nguyễn Tất Thành, P. 12, Q. 4, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39435899,,None,mailto:info@interlogistics.com.vn                        ,http://www.interlogistics.com.vn
8,Vinafco Logistics - Công Ty CP Vinafco,None,"Thôn Tự Khoát, X. Ngũ Hiệp, H. Thanh Trì, Hà Nội, Việt Nam", (024) 37685775,,None,mailto:info@vinafco.com.vn                               ,http://www.vinafco.com.vn
9,Vantage Logistics - Công ty CP Vantage Logistics,None,"P. 0601, Tháp A RiverGate Residence, Số 151-155 Bến Vân Đồn, Q. 4, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38267312,,None,mailto:info@vantage-logistics.com.vn                     ,http://vantage-logistics.com.vn
