,name,image:,address,tel,extendsection,other,email,web
0,Công Ty Cổ Phần Quốc Tế Thông Đỏ,None,"168 Phan Văn Trị, P. 5, Q. Gò Vấp , Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62910408Hotline: 18008181,,None,mailto:info@redpineinternational.vn                      ,http://redpineinternational.vn
1,Kho Lạnh Đức Tấn Sài Gòn - Công Ty TNHH Đức Tấn Sài Gòn,None,"Km 12 Đường Ngọc Hồi, Thanh Trì, Hà Nội, Việt Nam", (024) 39927854 - 091.600.8686,,None,mailto:ductan2108@yahoo.com.vn                           ,http://kholanhductan.com.vn
2,TTL Global Logistics,None,"Số 5 Đào Duy Anh, Hà Nội, Việt Nam",0935952699,,None,mailto:sales@mlc-ttl.com                                 ,http://mlc-ttl.com
3,Forwarder Logistics - Công Ty CP TM Và DV Hàng Hải Bình Nguyên,None,"Số 8, Ngõ 52 Chùa Vẽ, P. Đông Hải 1, Q. Hải An, Tp. Hải Phòng, Việt Nam"," (0225) 3766126, Hotline : 0936.954.019",,None,mailto:manager@binhnguyenlogistics.com                   ,http://binhnguyenlogistics.com
4,Xuất Nhập Khẩu VNT - Công Ty CP Phát Triển Và Công Nghệ VNT,None,"221E/3 Trần Huy Liệu, P. 8, Q. Phú Nhuận, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0988.039.755,,None,mailto:info@vntcorp.com.vn                               ,http://vntcorp.com.vn
5,Công Ty TNHH HP Toàn Cầu,None,"Phòng 2308, Tòa CT2, KĐT Văn Khê, P. La Khê, Q. Hà Đông, Hà Nội, Việt Nam",0886115726,,None,mailto:info@hptoancau.com                                ,http://hptoancau.com
6,Công Ty TNHH Logistics Safway,None,"B&#7855c Ninh, Bắc Ninh, Việt Nam",0901 232 568,,None,mailto:info@safway.com.vn                                ,http://safway.com.vn
7,Công Ty TNHH TMDV Hàng Hải Seastar,None,"26, Tổ 9, Khu 7, Phường Hồng Hà, TP. Hạ Long, Quảng Ninh, Việt Nam",0398333555,,None,mailto:xuandan.stocker@gmail.com                         ,http://seastars.vn
8,Công Ty TNHH DV Giao Nhận Vận Tải Bảo Minh,None,"Phòng 402, Số 337, P. Đông Hải 1, Q. Hải An, Tp. Đà Nẵng, Việt Nam",0916317888,,None,mailto:minhpham@baominhhp.com.vn                         ,http://www.saillogistics.com
9,Công Ty TNHH Giao Nhận Và Vận Tải Quốc Tế Cánh Buồm,None,"Số 10, Đường Số 8, P. Phú Hữu, Q. 9, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 22535816,,None,mailto:manhhung@saillogistics.com                        ,http://24hour.com.vn
10,Công Ty CP 24h Logistics,None,"778 K/24 Nguyễn Kiệm, Phường 4, Quận Phú Nhuận, Tp. Hồ Chí Minh, Việt Nam", (028) 39972424,,None,"mailto:hoanghac.24h@gmail.com,  hoanghac@24hour.com.vn   ",http://meijilogistics.net
11,Vận Tải Meiji - Công Ty TNHH Quốc Tế Meiji,None,"Số 207, Dãy E8, Khu Tập Thể Z153, Tổ 10, TT. Đông Anh, H. Đông Anh, Hà Nội, Việt Nam","0912213213, 0949 955 888",,None,mailto:Meiji.logistics@gmail.com                         ,http://www.tagi.com.vn
12,Công Ty TNHH Tagi Logistics,None,"Tầng 6, Tòa Nhà Miss Áo Dài, 21 Nguyễn Trung Ngạn, P. Bến Nghé, Q. 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39102186,,None,mailto:info@tagi.com.vn                                  ,http://otranenergy.com
13,Công Ty Cổ Phần OTE Group,None,"Đường Số 4, KCN Phú Mỹ 1, TX. Phú Mỹ, H. Tân Thành, Bà Rịa-Vũng Tàu, Việt Nam",0901388136,,None,mailto:cskh.ote@otrangroup.com                           ,http://wnw.vn
14,Kho Lạnh Freight Mark - Công Ty TNHH Freight Mark Việt Nam,None,"LM81-44.OT06 Tòa Landmark 81 Vinhomes Central Park, 720A Điện Biên Phủ, P. 22, Q. Bình Thạnh, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39110184 - Hotline 0903 384 808,,None,mailto:maya@freightmark.com.vn                           ,http://www.hhh-sti.com
15,Vận Tải Huy Hoàng Hưng - Công Ty TNHH Đầu Tư Thương Mại Dịch Vụ Huy Hoàng Hưng,None,"Số 1305, Nguyễn Chí Thanh, KP. 9, P. Tân An, Tp. Thủ Dầu Một, Bình Dương, Việt Nam"," (0274) 3889610, 0917.937.183",,None,mailto:info@hhh-sti.com                                  ,http://dichvuhaiquanhaiphong.com
16,Công Ty TNHH Dịch Vụ Xuất Nhập Khẩu Kim Ngưu,None,"P209 Tòa Nhà Thành Đạt, Số 3 Lê Thánh Tông, P. Máy Tơ, Q. Ngô Quyền, Tp. Hải Phòng, Việt Nam",0906174066,,None,mailto:info@dichvuhaiquanhaiphong.com                    ,http://www.gw-world.com
17,Vận Tải Gebruder Weiss - Công Ty TNHH Gebruder Weiss,None,"Phòng 2, Lầu 9, HD Tower, Số 25Bis, Đường Nguyễn Thị Minh Khai, Phường Bến Nghé, Quận 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0901 915 478,,None,mailto:nghia.nguyen@gw-world.com                         ,http://deegroup.vn
18,Logistics Dee Group - Công Ty TNHH Dee Group,None,"24/1/15 Khúc Thừa Dụ, P. Vĩnh Niệm, Q. Lê Chân, Tp. Hải Phòng, Việt Nam",Hotline: 0978.093.872 | 0936.536.269,,None,mailto:deegroupvn@gmail.com                              ,http://www.vantage-logistics.com.vn
19,Ưa Vận - Công Ty TNHH Dịch Vụ Giao Nhận Vận Tải Ưa Vận,None,"Phòng 801- 802, 209 Giang Vo, P. Cát Linh, Q. Đống Đa, Hà Nội, Việt Nam", (024) 35147029,,None,mailto:quang.do@vantage.com.vn                           ,http://itlvn.com
20,Chi Nhánh Công ty CP Giao Nhận Và Vận Chuyển In Do Trần Tại Đà Nẵng,None,"146 Duy Tân, P. Hòa Thuận Tây,  Q. Hải Châu, Tp. Đà Nẵng, Việt Nam",0981039103,,None,mailto:jack.cuong@itlvn.com                              ,http://bcshipping.vn
21,Công Ty TNHH Best Care Shipping,None,"Tòa Nhà Melody, 01 Nguyễn Văn Đậu, P. 5, Q. Phú Nhuận, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 31502015,,None,mailto:info@bcshipping.vn                                ,http://iql.com.vn
22,Công Ty Cổ Phần IQ Logistic,None,"Tầng 4 Tòa Nhà Hải Âu, 39B Trường Sơn, Phường 4, Quận Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam",(028) 3540589,,None,mailto:info@iql.com.vn                                   ,http://baolonglogistics.com
