,name,image:,address,tel,extendsection,other,email,web
0,Công Ty TNHH MTV Viego Global,None,"L17-11, Vincom Center, 72 Lê Thánh Tôn, P. Bến Nghé, Q. 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0562646315,,None,mailto:hello@viegoglobal.com                             ,http://viegoglobal.com
1,Bắc Nam - Công Ty TNHH Vận Tải Bắc Nam,None,"B18, Biệt Thự 1A , Mỹ Đình 2,X. Mỹ Đình, H. Từ Liêm, Hà Nội, Việt Nam", (024) 37871056,,None,mailto:vantaibacnamhn@vnn.vn                             ,http://vantaibacnam.net
2,CÔNG TY TNHH QUốC Tế TINH HOA,None,"190 Cao Xuân Dục, Phường 12, Quận 8, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0909990287,,None,mailto:sales@tinhhoagroup.vn                             ,http://www.tinhhoagroup.vn
3,Công Ty TNHH Kỷ Nguyên Việt,None,"322 Tổ 10, ấp Cầu Sắt, X. Lại Hưng, H. Bến Cát, Bình Dương, Việt Nam", (0274) 3662068,,None,mailto:tinh.phung.ce@gmail.com                           ,http://www.slrshipping.com
4,Công ty TNHH Dịch Vụ Vận Tải SLR,None,"Tòa Dubai National Insurance , Đường Sheikh Zayed, Dubai, UAE", (+971) 4 333 6593,,None,mailto:enquiry@slrshipping.com                           ,http://ktb.vn
5,Công Ty TNHH Thương Mại Dịch Vụ Giao Nhận KTB,None,"385 Xô Viết Nghệ Tĩnh, P. 24, Q. Bình Thạnh, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 35119234,,None,mailto:sales3@ktb.vn                                     ,http://www.ltlogistics.vn
6,Công Ty TNHH Xây Dựng Vĩnh Phát,None,"58A/9 KP. Đông Nhì, P. Lái Thiêu, TX. Thuận An, Bình Dương, Việt Nam", (0274) 2461 099,,None,mailto:xaydungvinhphat1@gmail.com                        ,http://dongsonlogistics.com
7,Công Ty TNHH Tiếp Vận LT,None,"53 Nguyễn Bỉnh Khiêm, P. 1, Q. Gò Vấp, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 36062871,,None,mailto:kateho@ltlogistics.vn                             ,http://www.voti.com.vn
8,Công Ty Cổ Phần Kho Bãi Và Logistic Long Thành,None,"KM 23+170 (P), QL 51, Tổ 7, ấp 1, X. Long An, H. Long Thành, Đồng Nai, Việt Nam", (0251) 0939211913,,None,mailto:dcdinh.kd@gmail.com                               ,http://www.glcvietnam.com
9,Công Ty Cổ Phần Đông Sơn Global Logistics Service,None,"KKT Vũng áng, Kỳ Long, Kỳ Anh, Hà Tĩnh, Việt Nam",0911 264 579,,None,mailto:dongsonlogistics@gmail.com                        ,http://excellogistics.com
