,name,image:,address,tel,extendsection,other,email,web
0,Vận Chuyển TH Group - Công Ty Cổ Phần Thương Mại Và Xuất Nhập Khẩu TH Group,None,"Số Nhà 2612, KĐT Grand City, P. Hùng Vương, TP. Phúc Yên, Vĩnh Phúc, Việt Nam","Hotline: 0981 244 755, 0903 269 299",,None,mailto:info@thgtransport.com.vn                          ,http://thgtransport.com.vn
1,Công Ty TNHH Thương Mại Dịch Vụ Xuất Nhập Khẩu Tân Phong Vận,None,"Phòng 03, Tầng 10, Tháp R1, Tòa nhà The EverRich, số 968, đường 3/2, P. 15, Q. 11, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 66743650,,None,mailto:tpv01@tanphongvan.com.vn                          ,http://tanphongvan.com.vn
2,Đông Thiên Phú - Công Ty Cổ Phần Tập Đoàn Đông Thiên Phú,None,"81 Nguyễn Tuân, Q. Thanh Xuân, Hà Nội, Việt Nam", (024) 38583577,,None,mailto:info@dongthienphu.vn                              ,http://www.dongthienphu.vn
3,Công Ty TNHH Tiếp Vận LTL Việt Nam,None,"Số 6 Ngách 9, Ngõ 93, Đường Hoàng Mai, P. Hoàng Văn Thụ, Q. Hoàng Mai, Hà Nội, Việt Nam", (024) 71064345,,None,mailto:luannguyen@ltllogistics.vn                        ,http://anslog.com
4,Công Ty Cổ Phần Tư Vấn Và Giải Pháp Tiếp Vận Anslog,None,"P616 Tầng 6, Tòa nhà Thành Đạt, Số 3 Lê Thánh Tông 1, Ngô Quyền, Tp. Hải Phòng, Việt Nam", (0225) 3826255,,None,mailto:info@anslog.com.                                  ,http://kinay.com
5,Công Ty TNHH Phát Triển Hoàng Ngân,None,"S16 Tôn Thất Thuyết, Phường 18, Quận 4, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0942035039,,None,mailto:hoangngandevelopment@gmail.com                    ,http://www.samsetjsc.com
6,Công Ty TNHH Thương Mại Dịch Vụ Vận Tải Tân Trường Thông,None,"71 Phan Văn Trị, P. 10, Q. Gò Vấp, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0909732771,,None,mailto:khanhbui71@gmail.com                              ,http://www.globalmax.com.vn
7,Công Ty TNHH KTL International Việt Nam,None,"Tầng 2, 177 Hai Bà Trưng, P. 6, Q. 3, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 73018788,,None,mailto:Johnathan.nguyen@kinay.com                        ,http://www.truongnam.vn
8,Công Ty Cổ Phần Vận Tải & Dịch Vụ Hàng Hải Cảng Sài Gòn,None,"155 Đường Nguyễn Tất Thành, P. 18, Q. 4, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39410535,,None,mailto:info@samsetjsc.com                                ,http://www.gtsco.com
9,Quốc Tế Kassa - Công Ty TNHH Giao Nhận Vận Tải Quốc Tế Kassa,None,"152/1B Điện Biên Phủ, P.25, Q. Bình Thạnh, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 35144606,,None,mailto:kassa_logistics@kassa.com.vn                      ,http://green-earth.vn
