,name,image:,address,tel,extendsection,other,email,web
0,Công Ty TNHH Thương MạI & Dịch Vụ Logistics DANKO,None,"Phòng 205 - 206, tầng 2, Tòa nhà Thành Đạt 3, Số 4 Lê Thánh Tông, P. Máy Tơ, Q. Ngô Quyền, Tp. Hải Phòng, Việt Nam",0936.838.568 - 091 101 2727,,None,mailto:phuc@pdptranslogistics.com                        ,http://pdptranslogistics.com
1,Công Ty TNHH Thương Mại Dịch Vụ Giao Nhận P&T,None,"33 Đường số 25, Phường Tân Quy, Quận 7, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62624406,,None,mailto:minhhai@minhhailogistics.com                      ,http://minhhailogistics.com
2,Công Ty TNHH Giao Nhận Minh Hải,None,"SAV 04, 02-12 The Sun Avenue, 28 Mai Chí Thọ, An Phú, Q. 2, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0965660011,,None,mailto:david@dntlogistics.vn                             ,http://https://vanchuyenduongbien.vn/
3,Công Ty TNHH Thương Mại Tiếp Vận D&T,None,"số 93 Đường Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38254246,,None,mailto:andrea@sgn.logimark-group.com                     ,http://logimark-group.com
4,Logimark Logistics - Công Ty TNHH Logimark International,None,"Tòa nhà E.Town 1, 364 Cộng Hòa, P. 13, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam",+84 913 195195,,None,mailto:managment@donglongjsc.com.vn                      ,http://donglongjsc.com.vn
5,Công Ty Cổ Phần Vận Tải Và Dịch Vụ Hàng Hải Đông Long,None,"Tòa Nhà ROSANA TOWER, 60 Nguyễn Đình Chiểu, P. Đa Kao, Q.1, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0937900222,,None,mailto:info@vinalogs.com                                 ,http://vinalogs.com
6,Công Ty TNHH Vinalogs,None,"Số 8/30/165 đường Đà Nẵng, quận Ngô Quyền, Tp. Hải Phòng, Việt Nam", (0225) 3761918,,None,mailto:info@traco.vn                                     ,http://traco.vn
7,Công Ty CP Vận Tải 1 Traco,None,"Số 271 Lê Thánh Tông, Q. Ngô Quyền, Tp. Hải Phòng, Việt Nam", (0225) 3822440,,None,mailto:info@vptrans.com.vn                               ,http://danalog.com.vn
8,Công Ty Cổ Phần LOGISTICS Cảng Đà Nẵng,None,"97 Đường Yết Kiêu, Phường Thọ Quang, Quận Sơn Trà, Tp. Đà Nẵng, Việt Nam",0903522522,,None,mailto:trucking@thtshipping.com                          ,http://http://vietphongvn.com.vn/
9,Công Ty Cổ Phần Thương Mại Và Dịch Vụ Việt Phong,None,"Phòng V 7.3, Tầng 7, Tháp A-B, Imperia Garden, 203 Nguyễn Huy Tưởng, Q.Thanh Xuân, Hà Nội, Việt Nam", (024) 32033133,,None,mailto:albert.chen@oocl.com                              ,http://www.thtshipping.com
