,name,image:,address,tel,extendsection,other,email,web
0,Công Ty TNHH MTV Giao Nhận Thương Mại Dịch Vụ Toàn Năng,None,"82-84 Thăng Long, P. 4, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39485075,,None,mailto:Contact@almighty.com.vn                           ,http://www.almighty.com.vn
1,Go fast,None,"Số 23/215, Định Công thượng, phường Định Công, quận Hoàng Mai, Hà Nội, Việt Nam",0946871886,,None,mailto:namsonha.nsh@gmail.com                            ,http://go-fast.vn/
2,Công ty TNHH Vận tải Nam Sơn Hà,None,"Số 6, đường k9, P. Đông Hải 2, Q. Hải An, Tp. Hải Phòng, Việt Nam", (0225) 3629 909,,None,mailto:david@seatop.com.vn                               ,http://seatop.com.vn
3,SeaTop Logistics (Việt Nam),None,"Tầng 7, Tòa Nhà MBAMC, 538 Cách Mạng Tháng 8, Phường 11, Quận 3, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0909692199,,None,mailto:info@aelvn.com                                    ,http://www.aelvn.com
4,Công Ty TNHH Thương Mại Và Dịch Vụ AEL,None,"308/18 Bình Lợi, P. 13, Q. Bình Thạnh, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62581123,,None,mailto:acct.3a@hcm.fpt.vn                                ,http://www.aaaslogistics.com
5,AAAS - Công Ty TNHH Dịch Vụ Giao Nhận AAAS,None,"159/3 Trần Quốc Thảo, P. 9, Q. 3, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38209536,,None,mailto:Smart@smartlinklogistics.com.vn                   ,http://www.Smartlinklogistics.com.vn
6,Công Ty TNHH Smart Link Logistics,None,"73 Đường 45, P. 6, Q. 4, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39415701,,None,mailto:info@jhi.vn                                       ,http://vimadeco.com.vn
7,Công Ty TNHH JH INTERNATIONAL,None,"54/739 Nguyễn Văn Linh, P. Vĩnh Niệm, Q. Lê Chân, Tp. Hải Phòng, Việt Nam", (0225) 3572188,,None,mailto:phan.bth@nnrvn.com                                ,http://www.tktrans.com.vn/lien-he
8,Công Ty TNHH NNR Global Logistics (Việt Nam),None,"Phòng 308, Lầu 3, 30 Phan Thúc Duyện, Q. 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39480204,,None,mailto:vimadecohcmc@hcm.vnn.vn                           ,http://cbiplogistics.com/
9,Chi Nhánh Công Ty Cổ Phần Phát Triển Hàng Hải Việt Nam,None,"Tòa Nhà Vimadeco, 163 Nguyễn Văn Trỗi, P. 11, Q. Phú Nhuận, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38453053,,None,mailto:info@tktrans.com.vn                               ,http://dbschenker.vn
10,Công Ty TNHH Thương Mại Vận Tải Quốc Tế Trọng Khang,None,"107/55 Quang Trung, P. 10, Q. Gò Vấp, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62617366,,None,mailto:contract@phatkimloivn.com                         ,http://gialong.webship.vn
11,Công Ty TNHH MTV TM-DV-XNK Phát Kim Lợi,None,"140 Nguyễn Cửu Đàm, P. Tân Sơn Nhì, Q. Tân Phú, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62677557,,None,mailto:info@cbiplogistics.com                            ,http://mrl.com.vn
12,CBIP Logistics,None,"26 Huỳnh Khương Ninh, Đa Kao, Quận 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0937585822,,None,mailto:thuytienjsc@gmail.com                             ,http://www.cevalogistics.com
13,Công Ty TNHH Schenker Việt Nam - Chi Nhánh Hà Nội,None,"Tầng 8, Indochina Plaza Hanoi Office Tower, 241 Xuân Thủy, P. Dịch Vọng Hậu, Q. Cầu GIấy, Hà Nội, Việt Nam", (024) 32321771,,None,mailto:gialonglogistics@gmail.com                        ,http://www.ap-logistics.com.vn
14,Thuy Tien J.S.C,None,"Trụ Sở: 179/9 Tô Hiến Thành, P. 13, Q. 10, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38641536Hotline:  0902 808 226,,None,mailto:info@mrl.com.vn                                   ,http://www.fmmalaysia.com.my
15,Công Ty TNHH Gia Long Logistics Việt Nam,None,"Số 5, Hẻm 7, Ngách 31, Ngõ 15 TDP Phú Thứ, Đường Tây Mỗ, P. Tây Mỗ, Q. Nam Từ Liêm, Hà Nội, Việt Nam",0943702004,,None,mailto:info@ap-logistics.com.vn                          ,http://www.goldenage.com.vn
16,Công Ty TNHH More And Romsdal Logistics,None,"Tòa Nhà Nam Việt, Số 9 Phan Kế Bính, Phường Đa Kao, Quận 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 62916558,,None,mailto:general-vn@iconfrtservices.com                    ,http://tltexpress.com.vn
17,Công Ty TNHH Vận Tải Hàng Hóa Ceva,None,"VP: 52 Trường Sơn, P. 2, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38488269,,None,mailto:info@goldenage.com.vn                             ,http://cargonetworks.com.vn
18,Công Ty TNHH Giao Nhận Và Vận Tải An Phú,None,"576/110G Đoàn Văn Bơ, P. 14, Q. 4, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 39416178,,None,mailto:hanh7logistic@gmail.com                           ,http://mercurytransport.com
19,Công Ty TNHH FM Global Logistics,None,"45 Võ Thị Sáu, P. Đa Kao, Q. 1, Tp. Hồ Chí Minh (TPHCM), Việt Nam", (028) 38238628,,None,mailto:info@tltexpress.com.vn                            ,http://www.ineximdaklak.com.vn
